kata_asal,kata_baku
aktip,aktif
aktifitas,aktivitas
Apotik,Apotek
apotik,Apotek
analisa,analisis
azas,asas
Azas,asas
atlit,Atlet
Atlit,Atlet
Antri,antre 
antri,antre 
Atmosfir,Atmosfer
atmosfir,Atmosfer
Erobik,Aerobic
rakyatmembantu,membantu
rs, rumah
erobik,Aerobic
ahir,akhir
Ahir,akhir
dsb,dan
samasama,sama
manusialebih,lebih
yuk,ayo
yok, ayo
gaesss,sahabat
coronacovid,covid
antar-instansi,antarinstansi
Antar-instansi,antarinstansi
Baud,Baut
jt, jika
baud,Baut
Bis,Bus
bis,Bus
Berfikir,berpikir 
berfikir,berpikir 
Cabe,Cabai
cabe,Cabai
Cinderamata,Cenderamata
cinderamata,Cenderamata
Difinisi,definisi
difinisi,definisi
Disel,Diesel
disel,disel
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Dipindah,dipindahkan
dipindah,dipindahkan
Dollar,Dolar
dollar,Dolar
Daptar,Daftar
daptar,Daftar
Difinisi,Definisi
difinisi,Definisi
Depo,Depot
depo,Depot
Detil,detail
detil,detail
Diagnosa,Diagnosis
diagnosa,diagnosis 
Differensial,diferensial
differensial,diferensial
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Disyahkan,disahkan
disyahkan,disahkan
Eksport,Ekspor
eksport,ekspor
Ekstrim,ekstrem
ekstrim,ekstrem
Ekwivalen,ekuivalen
ekwivalen,ekuivalen
Hembus,embus
hembus,embus
esei,esai
Pebruari,Februari
pebruari,Februari
Phiologi,Fiologi 
phiologi,Fiologi 
Filem,Film
filem,Film
Phisik,fisik
phisik,fisik
Photo,Foto
Photo,Foto
frekwensi,Frekuensi
Frekwensi,Frekuensi
Hapal,hafal
hapal,hafal
Hakekat,Hakikat
hakekat,Hakikat
Hirarki,Hierarki
Hipotesa,Hipotesis
Ijasah,Ijazah
Ihlas,Ikhlas
Himbau,Imbau
Ilmiawan,Ilmuwan
Import,Impor
Insyaf,Insaf
Hisap,Isap
Isteri,Istri
Ijin,Izin
Jadual,Jadwal
Jenasah,Jenazah
Jendral,Jenderal
Kaedah,Kaidah
Karir,Karier
Khutbah,Khotbah
Komplek,Kompleks
Kondite,Konduite
konperensi,Konferesi
Konkrit,Konkret
Konsepsionil,Konsepsional
Koordinir,Koordinasi
Kwalitas,Kualitas
Kwantitas,Kuantitas
Kwitansi,Kuitansi
Lobang,Lubang
Managemen,Manajemen
Manager,Manajer
Memproklamirkan,Memproklamasikan
Menyolok,Mencolok
Mendifinisikan,Mendefinisikan
Menterapkan,Menerapkan
Menterjemahkan,Menerjemahkan
Melola,Mengelola
Mengenyampingkan,Mengesampingkan
Mengeritik,Mengkritik
Mengobah,Mengubah
merubah,Mengubah
Mensukseskan,Menyukseskan
Musti,Mesti
Metoda,Metode
Motip,Motif
Motifasi,Motivasi
nara sumber,Narasumber
Nasehat,Nasihat
Nopember,November
obyek,Objek 
obyektif,Objektif 
On,Ons
Perletakan,Peletakan
Penasehat,Penasihat
Prosentase,Persentase
Pertanggung-jawab,Pertanggungjawaban
Problimatik,Problematic
Produktifitas,Produktivitas
Psikotest,Psikotes
Rejeki,Rezeki
Resiko,Risiko
Rubuh,Roboh
Seksama,Saksama
Sekertaris,Sekretaris
Mumpung,Selagi
Silahkan,Silakan
Sintesa,Sintesis
Sistimatis,Sistematis
Sistim,Sistem
Spesis,Spesies
Spiritual,Spiritual
Standarisasi,Standardisasi
Setasiun,Stasiun
Subyek,Subjek
Subyektip,Subjektif
Survai,Survei
Sutra,Sutera
Sukur,Syukur
Tapsiran,Tafsiran
Tarip,Tarif
Tehnik,Teknik
Terlanjur,Telanjur
Terlantar,Telantar
Terlentang,Telentang
Tilpun,Telepon
Teoritis,Teoretis
Trampil,Terampil
Team,Tim
Tradisionil,Tradisional
Trotoir,Trotoar
Hutang,Utang
Varitas,Varietas
Wasallam,Wasalam
Ujud,Wujud
Jaman,Zaman
Zone,Zona
w,saya
Akyu,saya
Akuwh,saya
Akku,saya
aku,saya
my,saya
Nax,Anak
Anx,Anak
Naq,Anak
Naggh,Anak
Pa,Apa
Ppa,Apa
Ja,Aja
Ajj,Aja
Lom,Belum
lo,kamu
Lum,Belum
Leh,Boleh
klw,kalau
sok,pamer
Ru,Baru
Wat,Buat
Wad,Buat
Bangedh,Banget
Beud,Banget
Beut,Banget
Bokebb,porno
Cw,Cewek
Cwekz,Cewek
Cwok,Cowok
Cwokz,Cowok
Cuekin,Cuxin
Ckep,Cakep
Ckepp,Cakep
Ckeb,Cakep
C8,Chat
W,saya
Gw,saya
gw,saya
Q,saya
aku,saya
Yupz,Ya
Iy,Ya
Lupz,Ya
Imoeth,Imut
Imoetz,Imut
Mutz,Imut
Inich,Ini
Iniyh,Ini
Nc,Ini
kakagg,Kakak
Kamuh,Kamu
Kamyu,Kamu
Qmu,Kamu
Kamuwh,Kamu
Kammooh,Kamu
krisi,krisis
qamue,Kamu
Khuzuz,Khusus
Klianz,Kalian
Nal,Kenal
Soalnya,Karena
monet,moneter
ngehastag,hastag
ngomongdampak,dampak
cmiiw,oke
luassaat,luas
sj,saja
mon,mohon
stre,stres
orangorang,orang
ye,ya
pictwittercomzncufkdq,twitter
luru,lurus
bere,beres
kagak,tidak
Coz,Karena
Cz,Karena
Kaluw,Karena
Klw,Karena
Low,Karena
Krenz,Keren
Krent,Keren
Krang,Kurang
Kangedh,Kangen
Kangeunnd,Kangen
Love,Cinta
Luph,Cinta
Luff,Cinta
Loupz,Cinta
Louph,Cinta
Loch,Loh
Lochkz,Loh
Lochx,Loh
Ghiy,Lagi
Ghiey,Lagi
Gi,Lagi
Luthu,Lucu
Uchul,Lucu
Luchuw,Lucu
Lupz,Lupa
Lo,Kamu
Lw,Kamu
lg,Sedang
lgi,Sedang
Gi,Sedang
Nich,Nih
Muuph,Maaf
Muphs,Maaf
Maav,Maaf
Maen,Main
Mumz,Makan
Mamz,Makan
Mums,Makan
Suk ,Masuk
Mzuk,Masuk
Mzug,Masuk
Mzugg,Masuk
Hufft,Mengeluh
Maniezt,Manis
Manies,Manis
Ngak,Tidak
Ga,Tidak
g,Tidak
Niech,Nih
Photo,Foto
Paling,Sangat
P'ling,Sangat
Punya,Milik
Pny,Milik
Pzt,Pasti
Humz,Rumah
Hozz,Rumah
T4,Tempat
Telp,Telepon
Yukz,ayo
Yuqz,ayo
yuk,ayo
yuks,ayo
yukk,ayo
Yuks,ayo
Yg,yang
viru,virus
yuks,ayo
adlah,adalah
yg,yang
yth, hormat
gmana,bagaimana
y,ya
you,kamu
bp,bapak
dgn,dengan
lu,kamu
kmrn,kemarin
yo,ayo
mend,mendapatkan
nyalahn,menyelahkan
not,tidak
si,di
pdhal,padahal
gk,tidak
sdh,sudah
tapi,tetapi
klo,kalau
aq,saya
sy,saya
stiap,setiap
trnsksi,transaksi
ad,ada
bts,batas
pmblian,pembelian
prmo,promo
prmonya,promonya
trs,terus
dlm,dalam
brp,berapa
tq,terima kasih
knp,kenapa
gk,tidak
thanks,terima kasih
thanks,terima kasih
gbs,tidak bisa
pictwittercomtxgujq,covid
tapi,tetapi
gitu,begitu
ajah,saja
jag,jaga
hrga,harga
sdh,sudah
brp,berapa
kalo,kalau
gak,tidak
gimana,bagaimana
trs,terus
dpet,dapat
ngeliat,melihat
terimakasih,terima kasih
ak,saya
udah,sudah
sy,saya
utk,untuk
trims,terima kasih
mhn,mohon
htl,hotel
bsm,bersama
brkt,berangkat
tgl,tanggal
nan,dan
jd,jadi
sya,saya
tks,terima kasih
ketjup,kecup
smbl,sambil
blm,belum
tsb,tersebut
dg,dengan
ny,nya
diaa,dia
n,dan
nulisssss,menulis
nulis,menulis
kayak,seperti
trus,terus
curi2,Curi-curi
dpt,dapat
teteup,tetap 
plg,paling
dg,dengan
prlu,perlu
bbrp,beberapa
diprhatikan,diperhatikan
ktmu,ketemu
gk,tidak
tempat2,tempat tempat
byk,banyak
drtadi,dari tadi
bagi2,bagi bagi
uda ,sudah
mensyen,mention
brbeda,berbeda
pny,punya
cr,cari
trus,terus
pake,pakai
agr,agar
pmbca,pembaca
trsbt,tersebut
tmpt,tempat 
hrg,harga
prjlanan,perjalanan
lbh,lebih
lgi,lagi
skrng,sekarang
wkt,waktu
hr,hari
org,orang
dg,dengan
td,tadi
sbg,sebagai
msh,masih
trgantung,tergantung
tuket,tiket
mnjadi,menjadi
bwh,bawah
hrs,harus
bgaimana,bagaimana
prjalanan,perjalanan
stelah,setelah
mlelahkan,melelahkan
mngembalikan,mengembalikan
kebnyakan,kebanyakan
dri,dari   
ngirimin,mengirim
enggak,tidak
kecee,kece
itung,hitung
bener,benar
nyumbang,menyumbang
nguntungin,menguntungkan
byr,bayar
nginep,menginap
orgorg,Orang-orang
mnjadi,menjadi
bberapa,beberapa
bln,bulan
uda,sudah
bsa,bisa
mnghsilkan,menghasilkan
jawan,jawab
jawaaab,jawab
bkn,bukan
dg,dengan
apapn,apapun
skedar,sekedar
mncari,mencari
klu,kalau
kl,kalau
bs,bisa
bisaaa,bisa
bangeet,banget
gmn,bagaimana
pmbaca,pembaca
prhatikan,perhatikan
komen2,komentar
sgt,sangat
wkwkwk,tertawa
blom,belum
pdp,pada
meningg,meninggal
dlan,duluan
without,dengan
syedih,sedih
sngt,sangat
ariefkau,kau
wellklo,kalau
lockdownjust,lockdown
homedampak,dampak
aja,saja
udah,sudah
engagememt,engagement
membantuu,membantu
jgn,jangan
jg,juga
priorita,prioritas
mbok,mungkin
tpi,tapi
didemo,demo
moril,moral
gugu,gugup
as,ada
ojo,jangan
mend,mendapatkan
sblum,sebelum
lbih,lebih
nulis,menulis
mw,mau
ngalir,mengalir
sprti,seperti
hrus,harus
spt,seperti
tau,tahu
sprti,seperti
dg,dengan
trus,terus
dlm,dalam
dann,dan
sbnarnya,sebenarnya
sndiri,sendiri
twma,tema
khidupan,kehidupan
teman2,teman
rata2,Rata-rata
sebernanya,sebenarnya
beguna,berguna
pmbcr,pembicara
prtm,pertama
ntah,entah
bg,abang
pngen,ingin
nambah,tambah
kesalahan2,kesalahan
selese,selesai
pnya,punya
sblum,sebelum
sdng,sedang
ttg,tentang
ktmu,ketemu
aksea,akses
mendokkrak,mendongkrak
sering2,sering
lsg,langsung
dmn,dimana
thl,tanggal
dpt,dapat
donk,dong
plmbang,palembang
bndung,bandung
guna,berguna
telfon,telepon
gada,tidak ada
masi,masih
brarti,berarti
sampeyan,kamu
udahlah,udah
tolongmenolong,menolong
tar,nanti
dobel,double
dungu,bodoh
covidsemoga,semoga
intl,internasional
bs,bisa
say,saya
apalikasi,aplikasi
pd,kepada 
ktiga,ketiga
dn,dan
moga,semoga
karna,karena
untk,untuk
nmr,nomor
kmr,kamar
mrk,mereka
tutuplock,tutup lock
mskapai,maskapai
memg,memang
traveokanya,travelokanya
kpd,kepada
melkukan,melakukan
tng,tentang
penjelasanya,penjelasannya
wfh,astaga
trimakasih,terima kasih
srsli,serasa
cem,saya
situ,disitu
pictwittercomxhqnvoxkq,twitter
pictwittercomsponrlczd,twitter
pictwittercomoezvxxvbc,twitter
pictwittercomlfgwsrlyy,twitter
pictwittercomgkealilpd,twitter
pictwittercomgcsbjifyf,twitter
pictwittercomfsymfv,twitter
pictwittercomexsgjrqha,twitter
pictwittercomtxoxfmipo,twitter
pictwittercomckkfu,twitter
bravo,bagus
gue,saya
smlm,semalam
dg,dengan
sdh,sudah
saâ€™at,saat
chek,check
krm,kirim
refouds,refounds
mnghubing,menghubungi
ber'arti,berarti
org,orang
pebgaduan,pengaduan
refoudsnya,refounds
apakh,apakah
pemenang,pemenang
skrg,sekarang
statua,status
danayanya,dana
ngantre,mengantri
gak,tidak
haii,hai
dbuka,di buka
dy,dia
sndirinya,sendirinya
ndak,tidak
audah,sudah
kjlsn,kejelasan
ttg,tentang
smp,sampai
nda,tidak
beda2,beda beda
dr,dari   
ga,tidak
makasih,terima kasih
pa,apa 
bs,bisa
d,di  
thn,tahun
Trmn ksh,terima kasih
thks,terima kasih
melakukab,melakukan
tlg,tolong
anak2,anak anak
th,tahun
kmarin,kemarin
diknfirmasike, Dikonfirmasi ke
peswat,pesawat
untk,untuk
bokingnya,bookingnya
mrndapat,mendapat
skitar,sekitar
sblm,sebelum
klo,kalau
beress,beres
bgtu,begitu
tlfn,telepon
kta,kata
tmn,teman
pke,pakai
trf,transfer
bgmana,bagaimana
sdh,sudah
msuk,masuk
mw,mau
nanya,tanya
trus,terus
pemsanan ,pemesanan
masi,masih
ngga,tidak
thx,terima kasih
Tengkyu,terima kasih
telpon,telepon
ktnya,katanya
udh,sudah
slmt,selamat
trm ksh,terima kasih
bmana,bagaimana
min,admin
mmsan,memesan
tapi,tetapi
trus,terus
blm,belum
mendptkan,mendapatkan
tdk,tidak
brngkat,berangkat
tp,tetapi
\n,dan
no,tidak
gt,begitu
mureh,murah
msan,pesan
gue,saya
bgt,banget
krn,karena
gapapa,tidak apa apa
lho,loh
tlp,telepon
sring,sering
srng,sering
srg,sering
x,sangat
mncul,muncul
bgt,sangat
bngt,sangat
